EmployeeID,JoiningYear,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,LeavingYear,Reason,RelievingStatus,office_code,JobLevel_updated
100000,2005,57,Travel_Rarely,164,Corporate Functions,22,Doctorate,1,217,3,Male,91,3,3,Married,10492,3411,0,Y,Yes,12,4,3,80,0,39,2,2,14,4,5,3,Yes,2019,long hours,Voluntary,BOS,L7
100001,2006,52,Travel_Rarely,265,Corporate Functions,19,Doctorate,1,519,3,Male,76,3,2,Married,11529,3105,0,Y,Yes,12,3,3,80,0,33,2,2,12,4,5,3,Yes,2018,medical issues,Voluntary,NYC,L6
100002,2006,53,Travel_Rarely,607,Corporate Functions,2,Doctorate,1,1572,3,Female,78,2,4,Married,10169,14618,0,Y,No,16,4,2,80,1,34,4,3,12,3,1,4,Yes,2018,retiring,Voluntary,OTT,L6
100003,2006,54,Travel_Rarely,215,Corporate Functions,19,Diploma,1,309,3,Male,86,2,4,Married,10314,3834,1,Y,Yes,11,3,3,80,1,35,3,2,13,4,5,3,Yes,2019,career change,Voluntary,NYC,L7
100004,2007,57,Travel_Rarely,285,Marketing,2,Diploma,1,828,3,Male,31,2,2,Married,19255,25762,6,Y,Yes,12,4,4,80,0,39,2,3,11,5,5,3,Yes,2018,retiring,Voluntary,CAL,L5
100005,2007,57,Travel_Rarely,224,Corporate Functions,21,Masters,1,223,3,Male,93,2,3,Married,10322,3392,1,Y,Yes,12,3,4,80,1,38,2,2,14,4,5,3,Yes,2021,retiring,Voluntary,CAL,L7
100006,2007,50,Travel_Rarely,528,Corporate Functions,2,Diploma,1,1485,2,Female,79,2,4,Married,10557,14410,1,Y,No,15,3,2,80,1,31,4,3,11,3,1,3,Yes,2018,retiring,Voluntary,OTT,L6
100007,2007,52,Travel_Rarely,590,Corporate Functions,2,Diploma,1,1563,2,Male,76,2,4,Divorced,10163,14718,0,Y,No,15,4,1,80,1,33,3,3,11,3,1,3,Yes,2018,return to school,Voluntary,PHL,L6
100008,2007,58,Travel_Rarely,147,Delivery,23,Diploma,1,165,4,Female,94,3,4,Married,10312,3465,1,Y,No,12,2,4,80,1,40,3,2,15,4,6,3,Yes,2022,Misconduct,Involuntary,BOS,L3
100009,2007,57,Travel_Rarely,305,Marketing,2,Masters,1,823,4,Male,33,3,1,Married,19272,25562,6,Y,No,12,3,4,80,0,39,2,3,11,5,5,3,Yes,2018,long hours,Voluntary,NYC,L5
100010,2007,51,Travel_Rarely,617,Corporate Functions,3,Doctorate,1,1337,3,Male,75,2,4,Divorced,10080,14453,0,Y,No,16,4,2,80,0,29,3,3,11,3,1,3,Yes,2018,retiring,Voluntary,NYC,L6
100011,2008,55,Travel_Rarely,410,Corporate Functions,18,Masters,1,364,3,Male,93,2,3,Married,10348,3221,2,Y,Yes,12,4,4,80,1,36,2,2,13,4,5,3,Yes,2021,offered more money,Voluntary,BOS,L7
